1. Topic 完成程度
目前階段：Word
目標基準：每個 topic 25 / 30
辦公室：9 / 25–30
文書作業：14 / 25–30
商務會議：9 / 25–30
業務協調：8 / 25–30
人才招募：9 / 25–30
人事與組織：15 / 25–30
行銷與宣傳：9 / 25–30
財務會計：14 / 25–30
企業經營：15 / 25–30
製造與品管：9 / 25–30
公告訊息：8 / 25–30
演講與宴會：8 / 25–30
貿易與物流：11 / 25–30
社會經濟：12 / 25–30
零售購物：14 / 25–30
銷售服務：8 / 25–30
餐飲與住宿：15 / 25–30
旅遊與交通：15 / 25–30
表演與展覽：11 / 25–30
金融與投資：14 / 25–30
房屋與修繕：9 / 25–30
生活休閒：4 / 25–30
公益慈善：5 / 25–30
傳播媒體：7 / 25–30
科技與研發：8 / 25–30
醫療與健康：9 / 25–30
環境保育：8 / 25–30
溝通表達：7 / 25–30
日常生活：4 / 25–30
 2. 難度完成程度
Level A：已測 70 題
Level B：已測 152 題
Level C：已測 66 題
分布判讀
 * Level B 仍佔最大宗，但 Level C 樣本有顯著增加（本輪新增 29 題），逐漸拉平高難度的分布。
 * Level A 新增 17 題，主要為具體的實物或場景詞，失分率偏高，顯示基礎生活字彙仍有隱藏盲區。
 * 整體向中高難度靠攏，符合目前診斷高階抽象字的目標。
 3. 該 100 題完整清單
 4. recreation｜Topic: 生活休閒｜Difficulty: B｜Type: Word｜Result: 不會
 5. shredder｜Topic: 辦公室｜Difficulty: A｜Type: Word｜Result: 不會
 6. proxy｜Topic: 業務協調｜Difficulty: C｜Type: Word｜Result: 會
 7. demographic｜Topic: 社會經濟｜Difficulty: C｜Type: Word｜Result: 不會
 8. logistics｜Topic: 貿易與物流｜Difficulty: B｜Type: Word｜Result: 會
 9. rehearsal｜Topic: 表演與展覽｜Difficulty: B｜Type: Word｜Result: 會
 10. pharmacy｜Topic: 醫療與健康｜Difficulty: A｜Type: Word｜Result: 不會
 11. tenant｜Topic: 房屋與修繕｜Difficulty: B｜Type: Word｜Result: 不會
 12. alignment｜Topic: 人事與組織｜Difficulty: B｜Type: Word｜Result: 會
 13. monopoly｜Topic: 企業經營｜Difficulty: C｜Type: Word｜Result: 會
 14. compensate｜Topic: 人事與組織｜Difficulty: B｜Type: Word｜Result: 會
 15. reporter｜Topic: 傳播媒體｜Difficulty: A｜Type: Word｜Result: 會
 16. emission｜Topic: 環境保育｜Difficulty: C｜Type: Word｜Result: 不會
 17. directive｜Topic: 公告訊息｜Difficulty: C｜Type: Word｜Result: 會
 18. algorithm｜Topic: 科技與研發｜Difficulty: B｜Type: Word｜Result: 不會
 19. resume｜Topic: 人才招募｜Difficulty: A｜Type: Word｜Result: 會
 20. recipe｜Topic: 餐飲與住宿｜Difficulty: A｜Type: Word｜Result: 會
 21. caterer｜Topic: 餐飲與住宿｜Difficulty: B｜Type: Word｜Result: 不會
 22. eloquent｜Topic: 溝通表達｜Difficulty: C｜Type: Word｜Result: 不會
