1.	Topic 完成程度
目前階段：Word
目標基準：每個 topic 25 / 30
辦公室：15 / 25–30
文書作業：24 / 25–30
商務會議：14 / 25–30
業務協調：12 / 25–30
人才招募：14 / 25–30
人事與組織：32 / 25–30 (✅ 達標)
行銷與宣傳：16 / 25–30
財務會計：25 / 25–30 (✅ 達標)
企業經營：26 / 25–30 (✅ 達標)
製造與品管：21 / 25–30
公告訊息：13 / 25–30
演講與宴會：13 / 25–30
貿易與物流：19 / 25–30
社會經濟：21 / 25–30
零售購物：21 / 25–30
銷售服務：11 / 25–30
餐飲與住宿：24 / 25–30
旅遊與交通：24 / 25–30
表演與展覽：14 / 25–30
金融與投資：17 / 25–30
房屋與修繕：15 / 25–30
生活休閒：7 / 25–30
公益慈善：8 / 25–30
傳播媒體：12 / 25–30
科技與研發：20 / 25–30
醫療與健康：17 / 25–30
環境保育：13 / 25–30
溝通表達：14 / 25–30
日常生活：6 / 25–30  
1.	難度完成程度
Level A：已測 114 題
Level B：已測 249 題
Level C：已測 125 題  
分布判讀
• 核心商務 Topic（人事、財會、企管）已率先達標，後續出題將大幅減少這些領域的投放，轉而補齊生活休閒、公益慈善、日常生活等樣本極少的 Topic。
• Level B 持續為最大宗，能精確切割您的跨域盲區。
• Level C 在本輪新增 24 題，依然呈現大面積失分，高階抽象字詞仍是主要弱點。
1.	該 100 題完整清單
2.	discrepancy｜Topic: 財務會計｜Difficulty: C｜Type: Word｜Result: 不會
3.	bottleneck｜Topic: 企業經營｜Difficulty: B｜Type: Word｜Result: 會
4.	feasibility｜Topic: 企業經營｜Difficulty: C｜Type: Word｜Result: 不會
5.	janitor｜Topic: 房屋與修繕｜Difficulty: B｜Type: Word｜Result: 不會
6.	toll｜Topic: 旅遊與交通｜Difficulty: B｜Type: Word｜Result: 不會
7.	amortization｜Topic: 財務會計｜Difficulty: C｜Type: Word｜Result: 不會
8.	integration｜Topic: 科技與研發｜Difficulty: B｜Type: Word｜Result: 不會
9.	optimization｜Topic: 企業經營｜Difficulty: B｜Type: Word｜Result: 會
10.	apprentice｜Topic: 人事與組織｜Difficulty: B｜Type: Word｜Result: 不會
11.	spreadsheet｜Topic: 文書作業｜Difficulty: A｜Type: Word｜Result: 不會
12.	symposium｜Topic: 商務會議｜Difficulty: C｜Type: Word｜Result: 不會
13.	boycott｜Topic: 社會經濟｜Difficulty: C｜Type: Word｜Result: 不會
14.	lucrative｜Topic: 企業經營｜Difficulty: C｜Type: Word｜Result: 不會
15.	pastry｜Topic: 餐飲與住宿｜Difficulty: B｜Type: Word｜Result: 不會
16.	excursion｜Topic: 旅遊與交通｜Difficulty: B｜Type: Word｜Result: 不會
17.	museum｜Topic: 表演與展覽｜Difficulty: A｜Type: Word｜Result: 會
18.	teller｜Topic: 金融與投資｜Difficulty: A｜Type: Word｜Result: 不會
19.	plumbing｜Topic: 房屋與修繕｜Difficulty: B｜Type: Word｜Result: 不會
20.	fitness｜Topic: 生活休閒｜Difficulty: A｜Type: Word｜Result: 不會
21.	orphanage｜Topic: 公益慈善｜Difficulty: B｜Type: Word｜Result: 不會
22.	podcast｜Topic: 傳播媒體｜Difficulty: A｜Type: Word｜Result: 會
23.	firewall｜Topic: 科技與研發｜Difficulty: A｜Type: Word｜Result: 會
24.	physician｜Topic: 醫療與健康｜Difficulty: B｜Type: Word｜Result: 不會
25.	renewable｜Topic: 環境保育｜Difficulty: B｜Type: Word｜Result: 會
26.	sarcasm｜Topic: 溝通表達｜Difficulty: C｜Type: Word｜Result: 不會
27.	laundry｜Topic: 日常生活｜Difficulty: A｜Type: Word｜Result: 不會
28.	projector｜Topic: 辦公室｜Difficulty: A｜Type: Word｜Result: 會
29.	typo｜Topic: 文書作業｜Difficulty: A｜Type: Word｜Result: 不會
30.	whiteboard｜Topic: 辦公室｜Difficulty: A｜Type: Word｜Result: 會
31.	collaboration｜Topic: 業務協調｜Difficulty: B｜Type: Word｜Result: 不會
32.	headhunter｜Topic: 人才招募｜Difficulty: B｜Type: Word｜Result: 會
33.	disciplinary｜Topic: 人事與組織｜Difficulty: C｜Type: Word｜Result: 不會
34.	giveaway｜Topic: 行銷與宣傳｜Difficulty: B｜Type: Word｜Result: 不會
35.	surplus｜Topic: 財務會計｜Difficulty: B｜Type: Word｜Result: 不會
36.	startup｜Topic: 企業經營｜Difficulty: A｜Type: Word｜Result: 會
37.	flawed｜Topic: 製造與品管｜Difficulty: B｜Type: Word｜Result: 不會
